site,Treatment,TreatmentFinal
BAT_Bon,B2,B
BAT_Lec,B1,B
BAT_Mve,B3,B
LOP_Ang,LF1,LF
LOP_BoM,LF2,LF
LOP_Gdeb,LF3,LF
LOP_BV1,LUS13a,LUS
LOP_Mab,LUS20a,LUS
LOP_BV2,LUS13b,LUS
LOP_Fou,LUS20b,LUS
LOP_Uap,LBS1,LBS
LOP_Cag,LBS2,LBS
LOP_SEG,LBS3,LBS
LOP_StG,LBS4,LBS
Mouila1,MN1,MN
Mouila2,MN2,MN
Mouila3,MN3,MN
Tchib1,MS1,MS
Tchib2,MS2,MS
Tchib3,MS3,MS
