bar code species,BAT_Bon,BAT_Lec,BAT_Mve,LOP_Ang,LOP_BoM,LOP_Gdeb,LOP_BV1,LOP_Mab,LOP_BV2,LOP_Fou,LOP_Uap,LOP_Cag,LOP_SEG,LOP_StG,Mouila1,Mouila2,Mouila3,Tchib1,Tchib2,Tchib3
Astalotermes sp 17,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,4,0,0,0
Astalotermes sp 19,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,0
Astalotermes sp 20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Astalotermes sp 21,0,0,0,0,0,0,11,1,10,3,10,5,12,3,0,0,0,0,0,0
Anenteotermes sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Anenteotermes sp 2,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0
Anenteotermes sp 6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Anenteotermes sp 4,0,0,0,0,0,0,5,0,0,2,10,9,14,8,0,3,4,0,0,1
Anenteotermes sp 6,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Amalotermes phaeocephalus,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ateuchotermes sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ateuchotermes sp 2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Ateuchotermes sp 3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ateuchotermes sp 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0
Ateuchotermes sp 5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Ateuchotermes sp 6,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ateuchotermes sp 7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ateuchotermes sp 8,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0
Aderitotermes sp 3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderitotermes sp 4,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aderitotermes sp 5,0,0,0,0,4,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0
Postsubulitermes parviconstrictus,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Leptomyxotermes doriae,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nasutitermes sp 1,0,0,0,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinervitermes sp 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,7,12,6,13,11
Promirotermes redundans,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Termes hospes,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Amitermes evuncifer,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sphaerotermes sphaerotermes,0,0,0,1,11,14,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Sphaerotermes sp 1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Cubitermes-gp 1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Cubitermes-gp 2,0,0,0,0,0,0,0,0,0,0,2,1,7,2,0,0,1,0,0,0
Euchilotermes sp 2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Cubitermes-gp sp ""9""",0,0,0,0,3,1,0,0,1,0,0,0,0,0,3,0,1,0,0,1
Orthotermes sp 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orthotermes sp 2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noditermes sp 1,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0
Probicitermes sp 1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubitermes-gp sp 3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubitermes-gp sp 5,0,0,0,2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubitermes-gp sp 6,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0
?Fastigitermes jucundus,0,0,0,0,3,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0
Basidentitermes sp 1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,1,2,0,0,0
Basidentitermes sp 2,3,0,0,0,0,0,0,0,1,0,11,0,10,3,0,0,0,0,0,0
Apilitermes longiceps,0,0,0,6,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Crenetermes albotarsalis,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubitermes sulcifrons,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubitermes fungifaber,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cubitermes sp 1,0,16,0,0,1,0,0,0,0,0,0,0,0,0,13,7,1,19,18,19
