"contrast","estimate","SE","df","z.ratio","p.value"
"B - LBS",0.216505793983886,0.195563181633239,Inf,1.10708872792796,0.685162130091983
"B - MN",-0.479182684004731,0.197204475254352,Inf,-2.42987733106304,0.0715520356857422
"B - MS",-0.307966743623286,0.199593485148956,Inf,-1.54296991905047,0.41172512777001
"LBS - MN",-0.695688477988618,0.18741499094528,Inf,-3.71202151161823,0.00117770818142948
"LBS - MS",-0.524472537607173,0.189927178372612,Inf,-2.76144015880774,0.0293833435715097
"MN - MS",0.171215940381445,0.191616753271761,Inf,0.893533250397043,0.808225795021155
