"contrast","estimate","SE","df","t.ratio","p.value"
"LBS - LF",-5.47656436471917,0.965874521802504,8,-5.67005779850044,0.00120355789171289
"LBS - LUS",-4.72327150403721,0.89422604614296,8,-5.28196592395174,0.00189544518190365
"LF - LUS",0.753292860681958,0.965874521802504,8,0.779907579792219,0.72500478175383
