"contrast","estimate","SE","df","z.ratio","p.value"
"LBS - LF",-1.74931048039707,0.204688343325884,Inf,-8.5462144642599,2.72004641033163e-14
"LBS - LUS",-0.168227793718094,0.204785363749207,Inf,-0.821483482208798,0.689678354477668
"LF - LUS",1.58108268667898,0.201780432679829,Inf,7.83565911560774,5.87307980026708e-14
