"contrast","estimate","SE","df","t.ratio","p.value"
"B - LBS",3.02972725352997,1.62658421739486,9,1.8626316554223,0.307642208484543
"B - MN",-1.28816158258738,1.7388916720644,9,-0.740794612615569,0.878282696186893
"B - MS",1.01081067989156,1.7388916720644,9,0.581295946222765,0.935237203840642
"LBS - MN",-4.31788883611736,1.62658421739486,9,-2.65457440810098,0.100738211876213
"LBS - MS",-2.01891657363842,1.62658421739486,9,-1.24120014939768,0.618501678936886
"MN - MS",2.29897226247894,1.7388916720644,9,1.32209055883833,0.572806709741909
